Institution,Rating Rank After NSU 2026,Rating Rank After NDUB 2026,Rating Rank After BUET 2026,Rating Rank After ICPC 2025,Rating Rank After CUET 2025,Rating Rank After MU 2025,Rating Rank After UU 2025,Rating Rank After DUET 2025,Rating Rank After AUST 2025,Rating Rank After UIU 2025,Rating Rank After KUET 2025,Rating Rank After ICPC 2024,Rating Rank After BUET 2024,Rating Rank After IUT 2024,Rating Rank After NCPC 2024,Rating Rank After SUST 2024,Rating Rank After CUET 2024
MYMENSINGH ENGINEERING COLLEGE,87,83,79,80,68,68,67,68,98,95,94,88,75,74,64,60,
INTERNATIONAL UNIVERSITY OF SCHOLARS,88,82,83,83,101,101,101,101,95,96,95,92,,,,,
WORLD UNIVERSITY OF BANGLADESH,89,88,89,88,109,109,109,109,107,106,105,104,,,,,
SYLHET INTERNATIONAL UNIVERSITY,90,87,88,87,86,89,80,77,68,64,59,58,49,49,46,34,
BANGLADESH UNIVERSITY,91,89,86,85,80,79,82,80,78,91,105,104,85,84,,,
BANGLADESH ARMY INTERNATIONAL UNIVERSITY OF SCIENCE AND TECHNOLOGY,92,90,87,86,84,78,77,78,71,71,67,67,73,65,61,57,51
CANADIAN UNIVERSITY OF BANGLADESH,93,94,94,91,98,97,98,97,90,85,79,77,66,66,,,
EUROPEAN UNIVERSITY OF BANGLADESH,94,92,93,94,109,109,109,109,,,,,,,,,
CHITTAGONG INDEPENDENT UNIVERSITY,95,93,91,90,85,85,84,79,99,94,93,91,78,77,66,63,
"IMPERIAL COLLEGE OF ENGINEERING, KHULNA",96,97,92,92,82,83,81,83,107,106,105,104,,,,,
"NORTH WESTERN UNIVERSITY, KHULNA",97,95,95,96,93,92,93,92,77,78,75,72,,,,,
BANGLADESH UNIVERSITY OF TEXTILES,98,99,98,98,99,100,99,100,92,92,90,87,,,,,
RANGPUR ENGINEERING COLLEGE,99,100,96,95,87,88,86,88,83,82,80,97,,,,,
CHATTOGRAM POLYTECHNIC INSTITUTE,100,98,101,100,100,99,100,99,88,88,86,82,,,,,
UNIVERSITY OF GLOBAL VILLAGE,101,101,99,97,89,91,88,90,85,81,78,76,69,69,,,
RANGPUR POLYTECHNIC INSTITUTE,102,103,104,104,104,104,104,104,102,101,99,98,,,,,
GONO BISHWABIDYALAY (GONO UNIVERSITY),103,102,103,101,88,87,87,87,73,74,69,73,,,,,
ASIAN UNIVERSITY OF BANGLADESH,104,104,102,102,92,94,92,94,97,98,96,93,,,,,
UNIVERSITY OF LIBERAL ARTS BANGLADESH,105,105,105,103,94,95,94,95,82,77,74,69,65,64,,,
"UNIVERSITY OF CREATIVE TECHNOLOGY, CHITTAGONG",106,106,106,105,95,93,95,93,81,80,77,75,,,,,
INTERNATIONAL STANDARD UNIVERSITY,107,107,107,106,96,96,96,96,87,83,81,78,68,68,,,
TMSS ENGINEERING COLLEGE,108,108,108,107,97,98,97,98,91,86,84,81,72,72,,,
FAREAST INTERNATIONAL UNIVERSITY,109,109,109,108,105,105,105,105,103,102,100,99,,,,,
BANGLADESH OPEN UNIVERSITY,110,110,110,109,102,102,102,102,96,97,92,90,,,,,
TEESTA UNIVERSITY,111,111,111,110,109,109,109,109,107,106,105,104,,,,,
RTM AL-KABIR TECHNICAL UNIVERSITY,112,112,112,111,108,108,108,108,106,105,104,103,85,84,,,
Z. H. SIKDER UNIVERSITY OF SCIENCE AND TECHNOLOGY,113,113,113,112,109,109,109,109,107,106,105,104,,,,,
STATE UNIVERSITY OF BANGLADESH,114,114,114,113,106,106,106,106,104,103,102,101,,,,,
THAKURGAON POLYTECHNIC INSTITUTE,115,115,115,114,,,,,,,,,,,,,
"COLLEGE OF BUSINESS SCIENCE AND TECHNOLOGY, MYMENSINGH",116,117,117,116,109,109,109,109,107,106,105,104,,,,,
SOUTHERN UNIVERSITY BANGLADESH,117,116,116,115,107,107,107,107,105,104,103,102,,,,,
HAMDARD UNIVERSITY BANGLADESH,118,118,118,117,109,109,109,109,107,106,105,104,,,,,
ATISH DIPANKAR UNIVERSITY OF SCIENCE AND TECHNOLOGY,119,119,119,118,109,109,109,109,107,106,105,104,,,,,
GERMAN UNIVERSITY BANGLADESH,119,119,119,118,109,109,109,109,107,106,105,104,,,,,
HEADWAY ENGINEERING INSTITUTE | SYLHET,119,119,119,118,109,109,109,109,107,106,105,104,,,,,
BARISAL INFORMATION TECHNOLOGY COLLEGE,119,119,119,118,109,109,109,109,107,106,105,104,,,,,
BRAHMANBARIA POLYTECHNIC INSTITUTE,119,119,119,118,109,109,109,109,107,106,105,104,,,,,
CENTRAL UNIVERSITY OF SCIENCE AND TECHNOLOGY,119,119,119,118,109,109,109,109,107,106,105,104,,,,,
CENTRAL WOMENS UNIVERSITY,119,119,119,118,109,109,109,109,107,106,105,104,,,,,
"DELTA COMPUTER SCIENCE COLLEGE, RANGPUR",119,119,119,118,,,,,,,,,,,,,
DAFFODIL INTERNATIONAL COLLEGE,119,119,119,118,109,109,109,109,,,,,,,,,
PRIMEASIA UNIVERSITY,119,119,119,118,109,109,109,109,107,106,105,104,,,,,
PUNDRA UNIVERSITY OF SCIENCE AND TECHNOLOGY,119,119,119,118,109,109,109,109,107,106,105,104,85,84,,,
PABNA ENGINEERING COLLEGE,119,119,119,118,,,,,,,,,,,,,
PIROJPUR SCIENCE AND TECHNOLOGY UNIVERSITY,119,119,119,118,109,109,109,,,,,,,,,,
SUNAMGONJ SCIENCE & TECHNOLOGY UNIVERSITY,119,119,119,118,109,109,109,109,107,106,105,,,,,,
STAMFORD UNIVERSITY BANGLADESH,119,119,119,118,,,,,,,,,,,,,
SHEIKH FAZILATUNNESA MUJIB UNIVERSITY,119,119,119,118,109,109,109,109,107,106,105,104,,,,,
UNITED COLLEGE OF AVIATION SCIENCE AND MANAGEMENT,119,119,119,118,109,109,109,109,,,,,,,,,
AHSANIA MISSION UNIVERSITY OF SCIENCE AND TECHNOLOGY,,,,,,,,,,,,,,,,,
AHSANULLAH INSTITUTE OF INFORMATION AND COMMUNICATION TECHNOLOGY,,,,,,,,,,,,,,,,,
BANGLADESH DIGITAL UNIVERSITY,,,,,,,,,,,,,,,,,
BGIFT INSTITUTE OF SCIENCE AND TECHNOLOGY,,,,,,,,,,,,,,,,,
CUMILLA POLYTECHNIC INSTITUTE,,,,,,,,,,,,,,,,,
DAFFODIL POLYTECHNIC INSTITUTE,,,,,,,,,,,,,,,,,
DHAKA RESIDENTIAL MODEL COLLEGE,,,,,,,,,,,,,,,,,
DR. SEKANDAR ALI COLLEGE,,,,,,,,,,,,,,,,,
"GOVT. SHAHID SUHRAWARDY COLLEGE, DHAKA",,,,,,,,,,,,,,,,,
INSTITUTE OF COMPUTER SCIENCE AND TECHNOLOGY (ICST),,,,,,,,,,,,,,,,,
MODEL INSTITUTE OF SCIENCE AND TECHNOLOGY,,,,,,,,,,,,,,,,,
PABNA GOVERNMENT POLYTECHNIC INSTITUTE,,,,,,,,,,,,,,,,,
"RABINDRA MAITREE UNIVERSITY, KUSHTIA",,,,,,,,,,,,,,,,,
SHEIKH BURHANUDDIN POST GRADUATE COLLEGE,,,,,,,,,,,,,,,,,
SIMT ENGINEERING COLLEGE,,,,,,,,,,,,,,,,,
UNIVERSITY OF DEVELOPMENT ALTERNATIVE,,,,,,,,,,,,,,,,,
UNIVERSITY OF SCIENCE & TECHNOLOGY CHITTAGONG,,,,,,,,,,,,,,,,,
