Institution,Score Rank In NSU 2026,Score Rank In NDUB 2026,Score Rank In BUET 2026,Score Rank In ICPC 2025,Score Rank In CUET 2025,Score Rank In MU 2025,Score Rank In UU 2025,Score Rank In DUET 2025,Score Rank In AUST 2025,Score Rank In UIU 2025,Score Rank In KUET 2025,Score Rank In ICPC 2024,Score Rank In BUET 2024,Score Rank In IUT 2024,Score Rank In NCPC 2024,Score Rank In SUST 2024,Score Rank In CUET 2024
PRESIDENCY UNIVERSITY,46,54,54,53,,,50,55,,,,94,,,,,
UNIVERSITY OF INFORMATION TECHNOLOGY & SCIENCES,46,40,53,47,41,,37,61,49,44,44,60,50,55,38,22,37
UNIVERSITY OF LIBERAL ARTS BANGLADESH,46,,,102,,,,,,,64,61,,54,,,
UTTARA UNIVERSITY,46,51,39,94,42,,42,77,50,45,50,67,,50,,,
AHSANIA MISSION UNIVERSITY OF SCIENCE AND TECHNOLOGY,,,,,,,,,,,,,,,,,
AHSANULLAH INSTITUTE OF INFORMATION AND COMMUNICATION TECHNOLOGY,,,,,,,,,,,,,,,,,
ATISH DIPANKAR UNIVERSITY OF SCIENCE AND TECHNOLOGY,,,,,,,,,,,,94,,,,,
BANGAMATA SHEIKH FOJILATUNNESA MUJIB SCIENCE AND TECHNOLOGY UNIVERSITY,,,,,,,,,,,,58,,56,,,38
BANGLADESH ARMY INTERNATIONAL UNIVERSITY OF SCIENCE AND TECHNOLOGY,,,,70,53,,,65,52,55,55,94,51,42,66,48,51
BANGLADESH ARMY UNIVERSITY OF ENGINEERING AND TECHNOLOGY,,48,,91,,,,57,,,59,81,48,24,47,,
BANGLADESH ARMY UNIVERSITY OF SCIENCE AND TECHNOLOGY,,,,,,,,46,,47,,73,,52,,,
BANGLADESH DIGITAL UNIVERSITY,,,,,,,,,,,,,,,,,
BANGLADESH OPEN UNIVERSITY,,,,93,,39,,,,58,,70,,,,,
BANGLADESH UNIVERSITY,,,,84,,,55,71,56,56,,94,,64,,,
BANGLADESH UNIVERSITY OF TEXTILES,,,,,,,,,,,,68,,,,,
BARISAL INFORMATION TECHNOLOGY COLLEGE,,,,,,,,,,,,94,,,,,
"BEGUM ROKEYA UNIVERSITY, RANGPUR",,,,86,,,,38,48,36,39,29,37,31,24,43,43
BGIFT INSTITUTE OF SCIENCE AND TECHNOLOGY,,,,,,,,,,,,,,,,,
BRAHMANBARIA POLYTECHNIC INSTITUTE,,,,,,,,79,,,,94,,,,,
CANADIAN UNIVERSITY OF BANGLADESH,,,,,,,,,,58,,94,,57,,,
CCN UNIVERSITY OF SCIENCE AND TECHNOLOGY,,,,98,,,,50,,51,,65,,,,,
CENTRAL UNIVERSITY OF SCIENCE AND TECHNOLOGY,,,,,,,,,,,,94,,,,,
CENTRAL WOMENS UNIVERSITY,,,,,,,,,,,,94,,,,,
CHATTOGRAM POLYTECHNIC INSTITUTE,,,,,,,,79,,,,64,,,,,
CHITTAGONG INDEPENDENT UNIVERSITY,,,,73,,,56,66,,,,94,,,,53,
CITY UNIVERSITY,,33,56,64,43,31,,74,,,58,69,,,,,
"COLLEGE OF BUSINESS SCIENCE AND TECHNOLOGY, MYMENSINGH",,,,97,,,,,,,,94,,,,,
CUMILLA POLYTECHNIC INSTITUTE,,,,,,,,,,,,,,,,,
DAFFODIL INSTITUTE OF IT (DIIT),,,,102,,,,56,,,,79,,,60,,
DAFFODIL INTERNATIONAL COLLEGE,,,,,,,,79,,,,,,,,,
DAFFODIL POLYTECHNIC INSTITUTE,,,,,,,,,,,,,,,,,
"DELTA COMPUTER SCIENCE COLLEGE, RANGPUR",,,,102,,,,,,,,,,,,,
DHAKA CITY COLLEGE,,34,,62,,,,34,,,56,37,49,,20,42,49
DHAKA RESIDENTIAL MODEL COLLEGE,,,,,,,,,,,,,,,,,
DHAKA UNIVERSITY OF ENGINEERING & TECHNOLOGY,,35,31,31,33,,27,30,31,,,22,32,41,32,29,
DR. SEKANDAR ALI COLLEGE,,,,,,,,,,,,,,,,,
EAST DELTA UNIVERSITY,,,30,35,23,,26,31,,32,,27,34,,40,32,26
EUROPEAN UNIVERSITY OF BANGLADESH,,,,63,,,,79,,,,,,,,,
FAREAST INTERNATIONAL UNIVERSITY,,,,,,,,,,,,86,,,,,
FARIDPUR ENGINEERING COLLEGE,,,,50,,,,,,,41,45,,,62,,
FENI UNIVERSITY,,60,58,81,47,37,45,79,34,53,,62,45,,,,18
GERMAN UNIVERSITY BANGLADESH,,,,,,,,,,,,94,,,,,
GONO BISHWABIDYALAY (GONO UNIVERSITY),,,,102,,,,,,,52,54,,,,,
GOPALGANJ SCIENCE AND TECHNOLOGY UNIVERSITY (GSTU),,,36,60,37,,,32,,,34,52,31,,25,,
"GOVT. SHAHID SUHRAWARDY COLLEGE, DHAKA",,,,,,,,,,,,,,,,,
HAJEE MOHAMMAD DANESH SCIENCE AND TECHNOLOGY UNIVERSITY,,,45,22,,,,36,10,46,37,40,28,49,18,47,
HAMDARD UNIVERSITY BANGLADESH,,,,100,,,,,,,,94,,,,,
HEADWAY ENGINEERING INSTITUTE | SYLHET,,,,,,,,,,,,94,,,,,
"IMPERIAL COLLEGE OF ENGINEERING, KHULNA",,,,88,,,,69,,,,94,,,,,
INSTITUTE OF COMPUTER SCIENCE AND TECHNOLOGY (ICST),,,,,,,,,,,,,,,,,
INSTITUTE OF SCIENCE TRADE & TECHNOLOGY (ISTT),,58,,44,,,,,,,,51,,,58,,
INTERNATIONAL ISLAMI UNIVERSITY OF SCIENCE AND TECHNOLOGY BANGLADESH,,38,,46,,,,,,,53,91,44,,,,
INTERNATIONAL STANDARD UNIVERSITY,,,,102,,,,,,,,94,,58,,,
KHULNA UNIVERSITY,,1,22,26,26,,21,22,20,16,11,11,14,10,23,,
KHWAJA YUNUS ALI UNIVERSITY,,,,66,,,52,70,,57,62,94,,,,,
METROPOLITAN UNIVERSITY,,41,14,15,27,21,14,28,30,23,31,43,47,36,28,31,20
MODEL INSTITUTE OF SCIENCE AND TECHNOLOGY,,,,,,,,,,,,,,,,,
NATIONAL UNIVERSITY,,,,,,,,,,,,,,,,35,
NOAKHALI SCIENCE & TECHNOLOGY UNIVERSITY,,,38,25,24,20,35,27,29,27,35,25,29,37,45,26,39
NORTH EAST UNIVERSITY BANGLADESH,,50,,83,,34,,59,,33,64,56,43,48,52,45,32
"NORTH WESTERN UNIVERSITY, KHULNA",,,,67,,,,,,,,53,,,,,
NOTRE DAME UNIVERSITY BANGLADESH,,57,,92,,,,,53,,64,94,,64,,,
PABNA ENGINEERING COLLEGE,,,,102,,,,,,,,,,,,,
PABNA GOVERNMENT POLYTECHNIC INSTITUTE,,,,,,,,,,,,,,,,,
PABNA UNIVERSITY OF SCIENCE AND TECHNOLOGY,,44,47,45,,32,22,,55,39,29,50,,59,56,,
